resultado_1,resultado_2,resultado_3,resultado_final,resultado_correcto,tiempo_votacion
561,561,561,561,561,0.0010357500000282016
561,113,561,561,561,0.0007008750001205044
1063,213,1063,1063,1063,0.00037550000001829176
1063,1063,1063,1063,1063,0.000755042000037065
222,1109,1109,1109,1109,0.0004085000000486616
926,926,186,926,926,0.0004677500000980217
1109,222,1109,1109,1109,0.0005299580000155402
1610,1610,1610,1610,1610,0.0005134999998972489
1610,1610,322,1610,1610,0.00048354199998357217
1610,1610,1610,1610,1610,0.0005040000000917644
561,561,561,561,561,0.0007337500001085573
